name,symbol,decimals,total_supply,total_supply_in_wei,contract_address,mint_time,logo,status,vesting_address,factory_contract
NiMA,NIMA,4,10000000,100000000000,0x8F564dc862FfE7EC0436C3717EC7ED06150144E2,2019-12-11 22:00:57 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0x8f564dc862ffe7ec0436c3717ec7ed06150144e2/logo.png,confirmed,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
Trent,TRENT,4,10000000,100000000000,0x4fe704E0a9a69389bD1a6351a5242B45d9867830,2019-12-12 18:07:16 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0x4fe704e0a9a69389bd1a6351a5242b45d9867830/logo.png,confirmed,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
CHRIS,CHRIS,4,10000000,100000000000,0x3E9CD39b064b321Db0a1E344228F44c35e672f96,2019-12-13 18:16:56 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0x3e9cd39b064b321db0a1e344228f44c35e672f96/logo.png,confirmed,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
CAMI,CAMI,4,10000000,100000000000,0xA809CeDeE9B61956c768EAa10272dd5E0FD1A985,2019-12-15 01:21:53 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0xa809cedee9b61956c768eaa10272dd5e0fd1a985/logo.png,confirmed,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
Alxocity,ALXO,4,10000000,100000000000,0x4317Ea4820F8D9ea6A103553A89Cb261B6Ea7F2a,2019-12-15 03:03:29 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0x4317ea4820f8d9ea6a103553a89cb261b6ea7f2a/logo.png,confirmed,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
Boom,BOOM,4,10000000,100000000000,0x40957E187061f480007744FCDcF609e1179bace9,2019-12-15 03:16:52 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0x40957e187061f480007744fcdcf609e1179bace9/logo.png,confirmed,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
mZ,MZ,4,10000000,100000000000,0x7A639e580Ef90e9B19570f25D369E00d71a9e793,2019-12-16 01:19:24 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0x7a639e580ef90e9b19570f25d369e00d71a9e793/logo.png,confirmed,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
UBIpromoter,UBIPRO,4,10000000,100000000000,0x991bd92D0dc8Af7bCc597AF1B0014a3CEc9f2460,2020-01-08 20:51:54 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0x991bd92d0dc8af7bcc597af1b0014a3cec9f2460/logo.png,confirmed,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
JESSE,JESSE,4,10000000,100000000000,0x876638FBCFa572E70816cE96B97B5D5187AcFF40,2020-04-15 21:04:26 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0x876638fbcfa572e70816ce96b97b5d5187acff40/logo.png,confirmed,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
MNFT,MNFT,4,10000000,100000000000,0xDB7eB3edE973665b1BB9F3016861E3255062E4ED,2020-01-08 18:42:49 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0xdb7eb3ede973665b1bb9f3016861e3255062e4ed/logo.png,proposed/rejected,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
GRR,GRR,4,10000000,100000000000,0xF2720ee75Ffca2aA765121c5958f6d3D32Bf671d,2020-01-13 21:52:55 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0xf2720ee75ffca2aa765121c5958f6d3d32bf671d/logo.png,confirmed,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
SCOTT,SCOTT,4,10000000,100000000000,0x27fD686Db10E0aE047fe8FE1DE9830C0e0dC3CFA,2020-01-08 19:30:41 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0x27fd686db10e0ae047fe8fe1de9830c0e0dc3cfa/logo.png,proposed/rejected,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
ZAPH Token,ZAPH,4,10000000,100000000000,0x9F675e2C53ED88168E5928747CAf31062Da24f21,2020-01-10 22:01:50 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0x9f675e2c53ed88168e5928747caf31062da24f21/logo.png,confirmed,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
CAMO,CAMO,4,10000000,100000000000,0xE86A746330b0B691323d2CbB5c140F77D7F198A4,2020-01-08 20:03:29 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0xe86a746330b0b691323d2cbb5c140f77d7f198a4/logo.png,confirmed,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
Commoner,CMNR,4,10000000,100000000000,0x3fa1e31E3E24b5AcB754910e0015fEBD23f18ec7,2020-01-08 21:14:21 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0x3fa1e31e3e24b5acb754910e0015febd23f18ec7/logo.png,confirmed,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
Voke,VOKE,4,10000000,100000000000,0xD858c11A1E990d7d02e0897b9B19dAdEf8171832,2020-01-08 20:29:52 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0xd858c11a1e990d7d02e0897b9b19dadef8171832/logo.png,confirmed,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
JACOB,JACOB,4,10000000,100000000000,0xD716905047C61d92Ef634F97D3D746747C08448A,2020-01-14 21:09:37 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0xd716905047c61d92ef634f97d3d746747c08448a/logo.png,confirmed,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
WONTON,WONTON,4,10000000,100000000000,0x147283B5e9a3e03fBaDa505e015900036Dc25A64,2020-01-13 20:54:21 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0x147283b5e9a3e03fbada505e015900036dc25a64/logo.png,confirmed,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
Jonathan Joseph,JJJ,4,10000000,100000000000,0x3C35132D0b129F068Fdfa65b2c4D265Fa5d8CEa6,2020-01-15 06:02:44 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0x3c35132d0b129f068fdfa65b2c4d265fa5d8cea6/logo.png,confirmed,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
ness,NESS,4,10000000,100000000000,0x370DaE2AB60ECbc0EE793E837D94ca8040Dd6786,2020-01-17 18:21:07 +0000 UTC,https://raw.githubusercontent.com/roll-assets/ethereum/main/assets/0x370dae2ab60ecbc0ee793e837d94ca8040dd6786/logo.png,confirmed,,0xdf65f4e6f2e9436bc1de1e00661c7108290e8bd3
